Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0002M-2R-2, 107.0 cm",NULL,486.98,486.98,486.98,486.98,"C0002M-2R-2, 109.0 cm",NULL,487,487,487,487,"C0002M-2R-2 W, 107.0--109.0 cm",CKY000000000006095700,PP,NULL,15,kitamura348,NULL,CKY,2013-12-07T11:23:40Z,NULL,18.8796,8.491,37.5634,18.6838,33.7878,13.9211,14.9082,3.9125,3.8208,5.3679,9.1887,5.4301,0.1369,0.0622,14.7713,0.2094,0.2649,2.0333,1.6076,2.7518,0.4158,0.7118,fuway,2013-12-09T05:03:46Z
"C0002M-2R-3, 13.0 cm",NULL,487.45,487.45,487.45,487.45,"C0002M-2R-3, 15.0 cm",NULL,487.47,487.47,487.47,487.47,"C0002M-2R-3 W, 13.0--15.0 cm",CKY000000000006096500,PP,NULL,15,kitamura348,NULL,CKY,2013-12-07T11:49:28Z,NULL,18.7918,8.5026,40.2101,21.4183,35.1328,14.4359,16.341,5.2615,5.1382,5.8496,10.9878,5.9333,0.1842,0.0837,16.1568,0.2457,0.3257,1.9493,1.4704,2.762,0.4676,0.8784,fuway,2013-12-09T05:03:46Z
"C0002M-2R-3, 65.0 cm",NULL,487.97,487.97,487.97,487.97,"C0002M-2R-3, 68.0 cm",NULL,488,488,488,488,"C0002M-2R-3 W, 65.0--68.0 cm",CKY000000000006096800,PP,NULL,15,kitamura348,NULL,CKY,2013-12-07T11:44:57Z,NULL,18.1351,8.1963,41.0824,22.9473,35.8818,14.6316,17.7467,5.3892,5.2629,6.3496,11.6125,6.4353,0.1886,0.0857,17.5581,0.2349,0.3069,1.9761,1.512,2.7652,0.4532,0.8289,fuway,2013-12-09T05:03:46Z
"C0002M-3R-1, 9.0 cm",NULL,493.59,493.59,493.59,493.59,"C0002M-3R-1, 11.0 cm",NULL,493.61,493.61,493.61,493.61,"C0002M-3R-1 W, 9.0--11.0 cm",CKY000000000006099300,PP,NULL,15,kitamura348,NULL,CKY,2013-12-07T13:58:45Z,NULL,18.6182,8.399,44.0552,25.437,38.5077,15.601,19.8895,5.7487,5.614,7.1105,12.7245,7.202,0.2012,0.0915,19.6883,0.226,0.292,1.9991,1.5473,2.7689,0.4412,0.7895,fuway,2013-12-09T05:03:46Z
"C0002M-3R-1, 85.0 cm",NULL,494.35,494.35,494.35,494.35,"C0002M-3R-1, 87.0 cm",NULL,494.37,494.37,494.37,494.37,"C0002M-3R-1 W, 85.0--87.0 cm",CKY000000000006098700,PP,NULL,15,kitamura348,NULL,CKY,2013-12-07T13:50:54Z,NULL,18.7626,8.4396,36.9679,18.2053,32.6139,13.4451,13.8513,4.5119,4.4062,4.9337,9.3399,5.0055,0.1579,0.0718,13.6934,0.2478,0.3295,1.9492,1.4661,2.7755,0.4718,0.8931,fuway,2013-12-09T05:03:46Z
"C0002M-3R-2, 18.0 cm",NULL,495.085,495.085,495.085,495.085,"C0002M-3R-2, 20.0 cm",NULL,495.105,495.105,495.105,495.105,"C0002M-3R-2 W, 18.0--20.0 cm",CKY000000000006099400,PP,NULL,15,kitamura348,NULL,CKY,2013-12-07T14:55:33Z,NULL,18.0343,8.1255,37.0281,18.9938,32.6539,13.4197,14.6196,4.5328,4.4266,5.2221,9.6487,5.2942,0.1586,0.0721,14.461,0.2386,0.3134,1.9685,1.4988,2.7692,0.4588,0.8477,fuway,2013-12-09T05:03:46Z
"C0002M-3R-2, 77.0 cm",NULL,495.675,495.675,495.675,495.675,"C0002M-3R-2, 79.0 cm",NULL,495.695,495.695,495.695,495.695,"C0002M-3R-2 W, 77.0--79.0 cm",CKY000000000006099800,PP,NULL,15,kitamura348,NULL,CKY,2013-12-07T14:55:33Z,NULL,18.215,8.2629,37.1172,18.9022,33.0729,13.5765,14.8579,4.191,4.0928,5.2469,9.3397,5.3136,0.1467,0.0667,14.7112,0.2217,0.2849,2.0239,1.5751,2.8038,0.4382,0.78,fuway,2013-12-09T05:03:46Z
"C0002M-4R-1, 31.0 cm",NULL,503.31,503.31,503.31,503.31,"C0002M-4R-1, 33.0 cm",NULL,503.33,503.33,503.33,503.33,"C0002M-4R-1 W, 31.0--33.0 cm",CKY000000000006102100,PP,NULL,10,kitajima348,NULL,CKY,2013-12-07T17:32:47Z,NULL,18.1537,8.1751,37.4101,19.2564,32.5943,13.4566,14.4406,4.9905,4.8735,5.2021,10.0756,5.2815,0.1747,0.0794,14.2659,0.2592,0.3498,1.9112,1.4159,2.7423,0.4837,0.9368,fuway,2013-12-09T05:03:46Z
"C0002M-4R-1, 114.0 cm",NULL,504.14,504.14,504.14,504.14,"C0002M-4R-1, 116.0 cm",NULL,504.16,504.16,504.16,504.16,"C0002M-4R-1 W, 114.0--116.0 cm",CKY000000000006102200,PP,NULL,10,kitajima348,NULL,CKY,2013-12-07T17:32:47Z,NULL,19.3361,8.7219,40.4231,21.087,35.414,14.5668,16.0779,5.1908,5.0691,5.7623,10.8314,5.8449,0.1817,0.0826,15.8962,0.2462,0.3265,1.9468,1.4676,2.7587,0.468,0.8797,fuway,2013-12-09T05:03:46Z
"C0002M-4R-2, 86.0 cm",NULL,505.265,505.265,505.265,505.265,"C0002M-4R-2, 88.0 cm",NULL,505.285,505.285,505.285,505.285,"C0002M-4R-2 W, 86.0--88.0 cm",CKY000000000006103500,PP,NULL,10,kitajima348,NULL,CKY,2013-12-07T19:19:00Z,muddy,19.0133,8.5964,38.5831,19.5698,33.5593,13.8313,14.546,5.206,5.084,5.1521,10.2361,5.2349,0.1822,0.0828,14.3638,0.266,0.3624,1.9118,1.4032,2.788,0.4967,0.9868,fuway,2013-12-09T05:03:46Z
"C0002M-4R-2, 111.0 cm",NULL,505.515,505.515,505.515,505.515,"C0002M-4R-2, 113.0 cm",NULL,505.535,505.535,505.535,505.535,"C0002M-4R-2 W, 111.0--113.0 cm",CKY000000000006103600,PP,NULL,10,kitajima348,NULL,CKY,2013-12-07T19:19:00Z,sandy,19.0833,8.7067,38.9011,19.8178,33.8819,13.9793,14.7986,5.2012,5.0793,5.1899,10.2692,5.2726,0.182,0.0827,14.6166,0.2625,0.3558,1.9298,1.4233,2.8164,0.4946,0.9787,fuway,2013-12-09T05:03:46Z
"C0002M-4R-3, 17.5 cm",NULL,505.995,505.995,505.995,505.995,"C0002M-4R-3, 20.0 cm",NULL,506.02,506.02,506.02,506.02,"C0002M-4R-3 W, 17.5--20.0 cm",CKY000000000006104000,PP,NULL,10,kitajima348,NULL,CKY,2013-12-07T20:09:39Z,NULL,18.9712,8.5068,45.1843,26.2131,38.9541,15.8216,19.9829,6.4562,6.3049,7.2121,13.517,7.3148,0.226,0.1027,19.7569,0.2463,0.3268,1.9393,1.4616,2.7394,0.4664,0.8742,fuway,2013-12-09T05:03:46Z
"C0002M-4R-3, 136.0 cm",NULL,507.18,507.18,507.18,507.18,"C0002M-4R-3, 139.0 cm",NULL,507.21,507.21,507.21,507.21,"C0002M-4R-3 W, 136.0--139.0 cm",CKY000000000006104100,PP,NULL,10,kitajima348,NULL,CKY,2013-12-07T20:09:39Z,NULL,18.7022,8.4494,35.7894,17.0872,31.9318,13.1877,13.2296,3.9975,3.9038,4.6747,8.5785,4.7383,0.1399,0.0636,13.0897,0.2339,0.3054,1.9919,1.5259,2.8001,0.4551,0.8351,fuway,2013-12-09T05:03:46Z
