leg	site	hole	well logging	latitude	longitude	ocean	ocean hemisphere	sea	physographic feature	hard rock feature	ta	td	re-entry	site survey	site termination	crust	equipment test	heat flow	in situ pore water	hydraulic piston core	variable length hpc	pressure core barrel	punch core	extended core barrel	water depth(m)	total penetration(m)	drilled penetration(m)	cored penetration(m)	number of cores recovered	meters recovered	percent recovery	meters of hard rock cored	number of hard rock cores	meters of hard rock recovered	depth to basememnt(m)	oldest sediment sub-bottom depth	oldest sediment depth below sealevel	oldest sediment core number	oldest sediment age	oldest sediment lithology	oldest sediment lithology composition	oldest sediment source	oldest sediment heterogeneity	oldest sediment hardness	oldest comp1	oldest comp2	hard rock descriptions and comments
2	8		NO	35.3833	-67.5533	ATLANTIC	NORTH		RISE		10/02/1968	10/06/1968	NO	YES	MECHANICAL OR EQUIPMENT FAILURE		NO	NO	NO	NO	NO	NO	NO	NO	5184	258	231	27	3	4.7	17					258.0	5442	2	NO AGE GIVEN	CLAYMINERALRICHSPICULERICHMUDDYRADOOZE	SILICEOUS	TRANSITIONAL	MONOGENIC	SOFT	RADIOLARIA	SPICULE	
2	8	A	YES	35.3833	-67.5533	ATLANTIC	NORTH		RISE		10/06/1968	10/08/1968	NO	YES	MECHANICAL OR EQUIPMENT FAILURE		NO	NO	NO	NO	NO	NO	NO	NO	5184	306	271	35	4	3.0	8					305.0	5489	X1	NO AGE GIVEN	CHERTYRADOOZEFRAGMENTS	SILICEOUS	TRANSITIONAL	MONOGENIC	SOFT	RADIOLARIA	unk - 0000	
2	9		NO	32.7733	-59.1950	ATLANTIC	NORTH		RISE		10/21/1968	10/25/1968	NO	YES	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4973	492	390	102	12	36	35					491.6	5465	12	NO AGE GIVEN	CLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
2	9	A	NO	32.7733	-59.1950	ATLANTIC	NORTH		RISE		10/28/1968	11/01/1968	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4973	834	802	32	6	11	34	0.3	1	0.3	834	834.0	5807	5	NO AGE GIVEN	ZEOLITERICHCLAYMINERALRICHPELAGICCLAYSTONE	DETRITAL	PELAGIC	HETEROGENIC	HARD	UNIDENTIFIED MATERIAL	CLAY MINERAL	GLASSYBASALT
2	10		YES	32.8622	-52.2153	ATLANTIC	NORTH		RISE		11/02/1968	11/07/1968	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4712	459	288	171	20	77	45	8.2	2	3.0	450	456.0	5168	19	NO AGE GIVEN	INDURATEDCARBONATE(MARBLE)	CALCAREOUS	TRANSITIONAL	MONOGENIC	HARD	ESTIMATED CARBONATE	unk - 0000	VESICULARBASALT
2	11		NO	29.9430	-44.7467	ATLANTIC	NORTH		PLATEAU		11/09/1968	11/10/1968	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3571	23	14	9.1	1	6.1	67					23.0	3594	1	NO AGE GIVEN	NANNO-FORAMCHALKANDOOZE	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	NANNOFOSSIL	FORAMINIFERA	
2	11	A	NO	29.9433	-44.7467	ATLANTIC	NORTH		PLATEAU		11/10/1968	11/12/1968	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3571	284	235	49	8	6.7	13	5.5	2	0.3		283.0	3854	7	NO AGE GIVEN	NANNOOOZEANDGLASS	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	NANNOFOSSIL	GLASS	BASALT
2	12		NO	19.6955	-26.0005	ATLANTIC	NORTH		BASIN		11/16/1968	11/21/1968	NO	YES	DRILL BIT WORN OUT		NO	NO	NO	NO	NO	NO	NO	NO	4557						0														unk - 0000	unk - 0000	
2	12	A	NO	19.6955	-26.0005	ATLANTIC	NORTH		BASIN		11/21/1968	11/21/1968	NO	YES	DRILL BIT WORN OUT		NO	NO	NO	NO	NO	NO	NO	NO	4557						0														unk - 0000	unk - 0000	
2	12	B	NO	19.6955	-26.0005	ATLANTIC	NORTH		BASIN		11/21/1968	11/21/1968	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4557	218	192	26	4	2.7	10					214.6	4772	3	NO AGE GIVEN	CLAYEYDOLOMITESILT	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	SERPENTINE	DOLOMITE	
2	12	C	NO	19.6950	-26.0000	ATLANTIC	NORTH		BASIN		11/21/1968	11/22/1968	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4557	115		115	13	30	26					114.9	4672	12	NO AGE GIVEN	CLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
2	12	D	NO	19.6950	-26.0000	ATLANTIC	NORTH		BASIN		11/22/1968	11/23/1968	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4557	37		37	7	39	105					36.6	4594	5	NO AGE GIVEN						unk - 0000	unk - 0000	
3	13		YES	6.0400	-18.2285	ATLANTIC	NORTH		RISE		12/03/1968	12/05/1968	NO	YES	DRILL BIT WORN OUT	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4585	145	118	27	3	26	96					145.0	4730	3	NO AGE GIVEN	RADSILTYCLAYWITHCHERTFRAGMENTS	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3122	ESTIMATED CARBONATE	
3	13	A	NO	6.0400	-18.2285	ATLANTIC	NORTH		RISE		12/06/1968	12/10/1968	NO	YES	DRILL BIT WORN OUT	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4585	463	430	33	7	11	33					463.0	5048	7	NO AGE GIVEN	SHALEWITHCHERT	DETRITAL	TERRIGENOUS	HETEROGENIC	HARD	unk - 3100	unk - 0000	
3	14		NO	-28.3315	-20.9410	ATLANTIC	SOUTH		HILL		12/20/1968	12/23/1968	NO	YES	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4343	107	15	92	10	79	85	1.5	1	1.0	107	107.0	4450	9	NO AGE GIVEN	CRYSTALLINEMARBLE	CALCAREOUS	TRANSITIONAL	MONOGENIC	HARD	ESTIMATED CARBONATE	unk - 0000	BASALT
3	15		NO	-30.8897	-17.9832	ATLANTIC	SOUTH		HILL		12/24/1968	12/26/1968	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3927	142	59	83	11	80	96	1.4	2	.45	141	141.0	4068	9	NO AGE GIVEN	MARLYCHALKOOZE	CALCAREOUS	TRANSITIONAL	HETEROGENIC	SOFT	ESTIMATED CARBONATE	unk - 0000	APHANITICBASALT
3	16		NO	-30.3358	-15.7132	ATLANTIC	SOUTH		HILL		12/26/1968	12/28/1968	NO	YES	DRILL BIT WORN OUT	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3527	176	76	100	12	99	99	.3	1	.3	175	162.0	3689	11	NO AGE GIVEN	CLAYMINERALRICHNANNOFOSSILCHALK	CALCAREOUS	PELAGIC	MONOGENIC	FIRM	NANNOFOSSIL	CLAY MINERAL	
3	17		NO	-28.0457	-6.6025	ATLANTIC	SOUTH		HILL		12/30/1968	12/31/1968	NO	NO	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4265	93	56	37	5	36	97					85.4	4350	4	NO AGE GIVEN	NANNOCHALK	CALCAREOUS	PELAGIC	MONOGENIC	FIRM	NANNOFOSSIL	unk - 0000	
3	17	A	NO	-28.0457	-6.6025	ATLANTIC	SOUTH		HILL		01/01/1969	01/01/1969	NO	NO	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4265	102.5	67	36	4	35	97	.3	1	.3		102.5	4368	4	NO AGE GIVEN	NANNOCHALKOOZE	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	NANNOFOSSIL	unk - 0000	
3	17	B	NO	-28.0457	-6.6025	ATLANTIC	SOUTH		BASIN		01/01/1969	01/01/1969	NO	NO	DRILL BIT WORN OUT	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4360	127	88	40	5	36	90	.3	1	.3		123.2	4483	4	NO AGE GIVEN	FORAM-NANNOCHALK	CALCAREOUS	PELAGIC	MONOGENIC	FIRM	NANNOFOSSIL	FORAMINIFERA	
3	18		NO	-27.9787	-8.0117	ATLANTIC	SOUTH		PLAIN		01/02/1969	01/04/1969	NO	NO	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4018	178.1	125	53	7	52	98	0.3		0.3	178	178.1	4196	6	NO AGE GIVEN	FORAM-NANNOCHALKOOZE	CALCAREOUS	PELAGIC	MONOGENIC	FIRM	NANNOFOSSIL	FORAMINIFERA	APHANITICBASALT
3	19		NO	-28.5347	-23.6772	ATLANTIC	SOUTH		RIDGE	FLOW	01/07/1969	01/09/1969	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4677	145	42	104	12	96	92	4.3	2	2.1	141	140.9	4818	11	NO AGE GIVEN	NANNOCHALKOOZE	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	NANNOFOSSIL	unk - 0000	APHANITICBASALT
3	20		NO	-28.5262	-26.8430	ATLANTIC	SOUTH		VALLEY		01/09/1969	01/11/1969	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4500	6.4		6.4	1	6.1	95					6.4	4506	1	NO AGE GIVEN	CLAYMINERALRICHCLAYSTONE	DETRITAL	TERRIGENOUS	HETEROGENIC	HARD	unk - 3100	CLAY MINERAL	
3	20	A	NO	-28.5245	-26.8455	ATLANTIC	SOUTH		VALLEY		01/12/1969	01/12/1969	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4518	65	40	25	4	11	44	1.8	1	0.4		64.0	4582	4	NO AGE GIVEN	NANNOFOSSILOOZE	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	NANNOFOSSIL	unk - 0000	WEATHEREDBASALT
3	20	B	NO	-28.5245	-26.8455	ATLANTIC	SOUTH		VALLEY		01/12/1969	01/12/1969	NO	YES	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4518	15.5	6.4	9.1	2	9.0	98					15.5	4534	1	NO AGE GIVEN	MARLYNANNOOOZE	CALCAREOUS	TRANSITIONAL	HETEROGENIC	SOFT	NANNOFOSSIL	unk - 0000	
3	20	C	NO	-28.5245	-26.8455	ATLANTIC	SOUTH		VALLEY		01/13/1969	01/14/1969	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4506	72.2	22	50	6	48	96	.3	1	.3	72	72.2	4578	6	NO AGE GIVEN	RECRYSTALLIZEDNANNOCHALKOOZE	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	NANNOFOSSIL	unk - 0000	
3	21		NO	-28.5850	-30.5975	ATLANTIC	SOUTH		RISE		01/15/1969	01/17/1969	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	2113	131	60	71	9	72	101					130.6	2244	9	NO AGE GIVEN	FORAM-NANNOCHALKOOZE	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	NANNOFOSSIL	FORAMINIFERA	COQUINAROCK
3	21	A	NO	-28.5850	-30.5975	ATLANTIC	SOUTH		RISE		01/17/1969	01/17/1969	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	2113	79.2	52	28	3	27	96					79.2	2192	3	NO AGE GIVEN	FORAM-NANNOCHALKOOZE	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	NANNOFOSSIL	FORAMINIFERA	
3	22		NO	-30.0052	-35.2500	ATLANTIC	SOUTH		RISE		01/18/1969	01/21/1969	NO	YES	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	2134	242.2	198	44	5	38	86					242.2	2376	5	NO AGE GIVEN	NANNOFOSSILLIMESTONE	CALCAREOUS	TRANSITIONAL	MONOGENIC	HARD	NANNOFOSSIL	unk - 0000	
4	23		NO	-6.1458	-31.0433	ATLANTIC	SOUTH		RISE		02/01/1969	02/04/1969	NO	YES	MECHANICAL OR EQUIPMENT FAILURE		NO	NO	NO	NO	NO	NO	NO	NO	5079	208	136	72	9	23	31					140.0	5219	6	NO AGE GIVEN	FORAMINIFERARICHCLAYMINERALRICHSANDYMUD	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	PHOSPHATE	CLAY MINERAL	ALTEREDBASALT
4	24		NO	-6.2717	-30.8922	ATLANTIC	SOUTH		RISE		02/04/1969	02/06/1969	NO	YES	MECHANICAL OR EQUIPMENT FAILURE		NO	NO	NO	NO	NO	NO	NO	NO	5148	234	197	37	4	5.2	14					234.0	5382	4	NO AGE GIVEN	CLAYMINERALRICHCLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	CLAY MINERAL	
4	24	A	NO	-6.2763	-30.8910	ATLANTIC	SOUTH		RISE		02/06/1969	02/08/1969	NO	YES	MECHANICAL OR EQUIPMENT FAILURE		NO	NO	NO	NO	NO	NO	NO	NO	5148	558	523	35	4	3.3	9	0.6	1	0.03		558.0	5706	4	NO AGE GIVEN	RADIOLARIARICHFELDSPARRICHMUDSTONE	DETRITAL	TERRIGENOUS	HETEROGENIC	HARD	unk - 3300	FELDSPAR	
4	25		NO	-0.5167	-39.2400	ATLANTIC	SOUTH		RIDGE		02/10/1969	02/11/1969	NO	YES	DRILL BIT WORN OUT		NO	NO	NO	NO	NO	NO	NO	NO	1916	66	2.0	64	9	25	39					59.0	1975	7	NO AGE GIVEN	ALGALCOQUINALLIMESTONE	CALCAREOUS	TRANSITIONAL	HETEROGENIC	HARD	ESTIMATED CARBONATE	unk - 0000	
4	25	A	NO	-0.5167	-39.2400	ATLANTIC	SOUTH		RIDGE		02/11/1969	02/11/1969	NO	YES	MECHANICAL OR EQUIPMENT FAILURE		NO	NO	NO	NO	NO	NO	NO	NO	1916	77	57	20	3	2.7	13					42.0	1958	1	NO AGE GIVEN	ALGALLIMESTONE	CALCAREOUS	TRANSITIONAL	HETEROGENIC	HARD	ESTIMATED CARBONATE	unk - 0000	
4	26		NO	10.8925	-44.0428	ATLANTIC	NORTH		TROUGH		02/14/1969	02/15/1969	NO	YES	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5169	9		9.1	1	0.0	0									QUARTZRICHCLAYMINERALRICHMUD	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3300	CLAY MINERAL	
4	26	A	NO	10.8925	-44.0428	ATLANTIC	NORTH		TROUGH		02/16/1969	02/20/1969	NO	YES	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5169	483	440	43	5	14	32					483.0	5652	1	NO AGE GIVEN	CLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
4	27		NO	15.8565	-56.8793	ATLANTIC	NORTH		RIDGE		02/23/1969	02/26/1969	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5251	475	419	56	7	29	51					475.0	5726	7	NO AGE GIVEN	RADIOLARIARICHCLAYMINERALRICHMUDSTONE	DETRITAL	TERRIGENOUS	HETEROGENIC	HARD	unk - 3300	CLAY MINERAL	
4	27	A	NO	15.8565	-56.8793	ATLANTIC	NORTH		RIDGE		02/26/1969	02/27/1969	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5251	81	35	46	5	31	67									CARBONATERICHCLAYMINERALRICHCLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	CLAY MINERAL	
4	28		YES	20.5865	-65.6222	ATLANTIC	NORTH		RIDGE		03/03/1969	03/07/1969	NO	YES	DRILL BIT WORN OUT	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5251	404	339	65	9	14	21					404.0	5655	9	NO AGE GIVEN	CLAYWITHCHERT	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
4	29		NO	14.7852	-69.3227	ATLANTIC	NORTH	CARIBBEAN	BASIN		03/08/1969	03/10/1969	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4247	230	65	165	20	86	52					226.0	4473	19	NO AGE GIVEN	SPICULERICHRADIOLARIAOOZE	SILICEOUS	PELAGIC	MONOGENIC	SOFT	RADIOLARIA	SPICULE	
4	29	A	NO	14.7852	-69.3227	ATLANTIC	NORTH	CARIBBEAN	BASIN		03/10/1969	03/11/1969	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4247	86	40	46	5	3.4	7					78.0	4325	5	NO AGE GIVEN	CLAYMINERALRICHMUD	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3300	CLAY MINERAL	
4	29	B	NO	14.7852	-69.3227	ATLANTIC	NORTH	CARIBBEAN	BASIN		03/11/1969	03/12/1969	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4247	231	145	86	10	52	60					231.0	4478	10	NO AGE GIVEN	RADOOZE	SILICEOUS	PELAGIC	MONOGENIC	FIRM	RADIOLARIA	unk - 0000	
4	29	C	YES	14.7852	-69.3227	ATLANTIC	NORTH	CARIBBEAN	BASIN		03/12/1969	03/14/1969	NO	YES	DRILL BIT WORN OUT	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4247	248	230	18	3	1.4	7					248.0	4495	3	NO AGE GIVEN	CHERT	SILICEOUS	PELAGIC	MONOGENIC	HARD	OTHER SILICEOUS	unk - 0000	
4	30		NO	12.8820	-63.3833	ATLANTIC	NORTH	CARIBBEAN	RIDGE		03/16/1969	03/17/1969	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	1218	430	297	133	16	62	46					430.0	1648	16	NO AGE GIVEN	FORAMOOZEWITHSOMESILTANDCLAY	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	FORAMINIFERA	unk - 0000	
4	31		NO	14.9433	-72.0272	ATLANTIC	NORTH	CARIBBEAN	RIDGE		03/19/1969	03/21/1969	NO	YES	DRILL BIT WORN OUT	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3369	279	188	91	10	41	45					279.0	3648	10	NO AGE GIVEN	NANNOOOZE	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	NANNOFOSSIL	unk - 0000	
5	32		YES	37.1272	-127.5563	PACIFIC	NORTH		PLAIN		04/15/1969	04/19/1969	NO	YES	OBJECTIVE REACHED		NO	NO	NO	NO	NO	NO	NO	NO	4758	215	103	112	14	86	76	1.1	2	0.45	212	215.0	4973	14	NO AGE GIVEN	CLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	BASALT
5	33		YES	39.4747	-127.4968	PACIFIC	NORTH		HILL		04/19/1969	04/23/1969	NO	YES	OPERATIONAL LIMIT REACHED		NO	NO	NO	NO	NO	NO	NO	NO	4284	295	174	121	15	112	92					295.0	4579	15	NO AGE GIVEN	SILICEOUSOOZE	SILICEOUS	PELAGIC	MONOGENIC	SOFT	OTHER SILICEOUS	unk - 0000	
5	34		NO	39.4702	-127.2757	PACIFIC	NORTH		PLAIN		04/23/1969	04/28/1969	NO	YES	DRILL BIT WORN OUT		NO	NO	NO	NO	NO	NO	NO	NO	4322	384	248	136	18	106	77	1.0	1	0.5	383	384.0	4706	18	NO AGE GIVEN	CLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	ALTEREDBASALT
5	35		YES	40.6737	-127.4747	PACIFIC	NORTH		VALLEY		04/28/1969	05/03/1969	NO	YES	OBJECTIVE REACHED		NO	NO	NO	NO	NO	NO	NO	NO	3273	390	250	140	17	95	67					330.0	3603	12	NO AGE GIVEN	SILTYSAND	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	MICA	unk - 0000	
5	35	A	NO	40.8392	-127.5202	PACIFIC	NORTH		VALLEY		05/03/1969	05/05/1969	NO	NO	WEATHER		NO	NO	NO	NO	NO	NO	NO	NO	3273						0														unk - 0000	unk - 0000	
5	36		NO	40.9847	-130.1097	PACIFIC	NORTH		RIDGE		05/06/1969	05/08/1969	NO	YES	OPERATIONAL LIMIT REACHED		NO	NO	NO	NO	NO	NO	NO	NO	3273	116	3	113	14	112	99	0.3	1	0.3	116	115.5	3389	14	NO AGE GIVEN	CLAYMINERALRICHMUD	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3300	CLAY MINERAL	BASALT
5	37		NO	40.9790	-140.7185	PACIFIC	NORTH		HILL		05/10/1969	05/12/1969	NO	YES	OPERATIONAL LIMIT REACHED		NO	NO	NO	NO	NO	NO	NO	NO	4682	31		31	5	30	96	0.6	2	0.03		14.0	4696	2	NO AGE GIVEN	CLAYMINERALRICHGLASSRICHMUD	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3300	GLASS	BASALT
5	38		NO	38.7020	-140.3545	PACIFIC	NORTH		HILL		05/12/1969	05/14/1969	NO	YES	OPERATIONAL LIMIT REACHED		NO	NO	NO	NO	NO	NO	NO	NO	5137	48		48	6	48	100		1			48.0	5185	6	NO AGE GIVEN	NANNOFOSSILOOZEWITHAMPHORPHOUSIRON	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	NANNOFOSSIL	IRON	
5	39		NO	32.8047	-139.5715	PACIFIC	NORTH		HILL		05/15/1969	05/17/1969	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4929	17		17	2	17	100	.03	1	0.03	17	17.0	4946	2	NO AGE GIVEN	ZEOLITICCLAY	DETRITAL				UNIDENTIFIED MATERIAL	ZEOLITE	APHANITICBASALT
