leg	site	hole	core	section	top of sampled interval (cm)	bottom of sampled interval(cm)	depth to core (m)	depth to sample (m)	card type	card number	pH electrode type	pH	alkalinity measurement type	alkalinity	salinity	data field #1	data field #2	data field #3	data field #4	data field #5	data field #6	reference
1	6		5	2	140.0	150.0	246.60	249.55	DATA CARD	2						0.35	9.68		19.06	0.60		120
1	6		5	2	140.0	150.0	246.60	249.55	DATA CARD	3											476.12	120
1	6		5	2	140.0	150.0	246.60	249.55	DATA CARD	4							0.13					120
1	6	A	1	2	0.0	10.0	15.20	16.75	DATA CARD	1					35.5	12.76	50.92	19.90				120
1	6	A	1	2	0.0	10.0	15.20	16.75	DATA CARD	2						0.13	12.56		29.82	1.50		120
1	6	A	1	2	0.0	10.0	15.20	16.75	DATA CARD	3											498.37	120
1	6	A	1	2	0.0	10.0	15.20	16.75	DATA CARD	4							0.57					120
1	6	A	1	2	10.0	72.0	15.20	17.11	DATA CARD	1						11.98	50.60	20.14				121
1	6	A	1	2	10.0	72.0	15.20	17.11	DATA CARD	2						0.09	13.04	20.02	26.86		3.98	121
1	6	A	1	2	10.0	72.0	15.20	17.11	DATA CARD	3											469.77	121
1	6	A	1	2	10.0	72.0	15.20	17.11	DATA CARD	4						0.88						121
1	7		1	3	0.0	10.0	0.00	3.15	DATA CARD	1						11.49	52.18	19.40				120
1	7		1	3	0.0	10.0	0.00	3.15	DATA CARD	2						0.09	11.77		29.18	0.60		120
1	7		1	3	0.0	10.0	0.00	3.15	DATA CARD	3											476.12	120
1	7		1	3	0.0	10.0	0.00	3.15	DATA CARD	4							0.45					120
1	7		1	3	10.0	72.0	0.00	3.51	DATA CARD	1						10.98	51.42	19.84				121
1	7		1	3	10.0	72.0	0.00	3.51	DATA CARD	2						0.09	13.30	0.36	25.71		1.99	121
1	7		1	3	10.0	72.0	0.00	3.51	DATA CARD	3											461.07	121
1	7		1	3	10.0	72.0	0.00	3.51	DATA CARD	4						0.89						121
2	8		1	1	149.0	150.0	167.90	169.40	DATA CARD	1				2.6		16.59	45.45	20.00				215
2	8		1	1	149.0	150.0	167.90	169.40	DATA CARD	2						0.09	8.11	94.96		0.70		215
2	8		1	1	149.0	150.0	167.90	169.40	DATA CARD	3									7.22		480.57	215
2	8		1	1	149.0	150.0	167.90	169.40	DATA CARD	4							0.38					215
2	8		2	3	0.0	3.0	249.00	252.01	DATA CARD	1				0.0		15.06	43.76	20.00				215
2	8		2	3	0.0	3.0	249.00	252.01	DATA CARD	2						0.13	7.85	154.55	12.14	0.30		215
2	8		2	3	0.0	3.0	249.00	252.01	DATA CARD	3									12.38		467.22	215
2	8		2	3	0.0	3.0	249.00	252.01	DATA CARD	4							0.57					215
2	8	A	1	1	0.0	2.0	278.30	278.31	DATA CARD	1				1.1		14.80	44.19	20.00				215
2	8	A	1	1	0.0	2.0	278.30	278.31	DATA CARD	2						0.12	9.16	94.96		0.30		215
2	8	A	1	1	0.0	2.0	278.30	278.31	DATA CARD	3									11.20		480.57	215
2	8	A	1	1	0.0	2.0	278.30	278.31	DATA CARD	4							0.28					215
2	9		5	1	147.0	150.0	31.40	32.89	DATA CARD	1				2.2		7.66	48.81	19.80				215
2	9		5	1	147.0	150.0	31.40	32.89	DATA CARD	2						0.07	11.77	48.41	18.96	0.30		215
2	9		5	1	147.0	150.0	31.40	32.89	DATA CARD	3									2.36		476.12	215
2	9		5	1	147.0	150.0	31.40	32.89	DATA CARD	4							0.66					215
2	9		5	4	1.0	60.0	31.40	36.21	DATA CARD	1						6.46	49.77	20.14			498.40	216
2	9		5	4	1.0	60.0	31.40	36.21	DATA CARD	2						0.07	13.63	31.85	20.82		4130.34	216
2	9		5	4	1.0	60.0	31.40	36.21	DATA CARD	3									2.49		504.57	216
2	9		5	4	1.0	60.0	31.40	36.21	DATA CARD	4						0.85	0.48					216
2	9		7	4	125.0	150.0	194.50	200.38	DATA CARD	1				0.0		9.70	43.34	20.80				215
2	9		7	4	125.0	150.0	194.50	200.38	DATA CARD	2						0.10	7.33	48.41	11.71	0.70		215
2	9		7	4	125.0	150.0	194.50	200.38	DATA CARD	3									2.51		502.82	215
2	9		7	4	125.0	150.0	194.50	200.38	DATA CARD	4							0.57					215
2	10		1	1	140.0	150.0	29.90	31.35	DATA CARD	1				2.7		11.49	51.76	19.90				215
2	10		1	1	140.0	150.0	29.90	31.35	DATA CARD	2						0.14	12.30	16.76	17.78	0.30		215
2	10		1	1	140.0	150.0	29.90	31.35	DATA CARD	3									3.39		498.37	215
2	10		1	1	140.0	150.0	29.90	31.35	DATA CARD	4							1.04					215
2	10		2	4	135.0	145.0	40.20	46.10	DATA CARD	1				3.0		12.00	50.92	19.40				215
2	10		2	4	135.0	145.0	40.20	46.10	DATA CARD	2						0.13	11.51	9.31	27.58	0.30		215
2	10		2	4	135.0	145.0	40.20	46.10	DATA CARD	3									5.31		476.12	215
2	10		2	4	135.0	145.0	40.20	46.10	DATA CARD	4							0.95					215
2	10		3	2	140.0	150.0	48.20	51.15	DATA CARD	1				3.0		12.51	52.18	19.70				215
2	10		3	2	140.0	150.0	48.20	51.15	DATA CARD	2						0.13	11.25	1.86	27.58	0.30		215
2	10		3	2	140.0	150.0	48.20	51.15	DATA CARD	3									4.42		480.57	215
2	10		3	2	140.0	150.0	48.20	51.15	DATA CARD	4							0.95					215
2	10		5	2	140.0	150.0	71.30	74.25	DATA CARD	1				0.0		13.02	53.02	19.90				215
2	10		5	2	140.0	150.0	71.30	74.25	DATA CARD	2						0.10	10.99	1.86	27.58	0.30		215
2	10		5	2	140.0	150.0	71.30	74.25	DATA CARD	3									2.51		485.02	215
2	10		5	2	140.0	150.0	71.30	74.25	DATA CARD	4							0.85					215
2	10		7	3	140.0	145.0	89.50	93.93	DATA CARD	1				0.0		12.51	47.97	18.50				215
2	10		7	3	140.0	145.0	89.50	93.93	DATA CARD	2						0.15	12.04	13.03	26.52	0.30		215
2	10		7	3	140.0	145.0	89.50	93.93	DATA CARD	3									5.60		458.33	215
2	10		7	3	140.0	145.0	89.50	93.93	DATA CARD	4							0.85					215
2	10		9	1	140.0	150.0	176.20	177.65	DATA CARD	1				3.1		12.51	50.50	19.40				215
2	10		9	1	140.0	150.0	176.20	177.65	DATA CARD	2						0.12	10.99	7.45	27.05	0.30		215
2	10		9	1	140.0	150.0	176.20	177.65	DATA CARD	3									3.98		485.02	215
2	10		9	1	140.0	150.0	176.20	177.65	DATA CARD	4							0.66					215
2	10		10	4	146.0	150.0	291.20	297.18	DATA CARD	1				2.1		12.76	47.55	19.50				215
2	10		10	4	146.0	150.0	291.20	297.18	DATA CARD	2						0.08	9.94	5.59	21.30	0.30		215
2	10		10	4	146.0	150.0	291.20	297.18	DATA CARD	3									2.80		476.12	215
2	10		10	4	146.0	150.0	291.20	297.18	DATA CARD	4							0.38					215
2	10		11	3	140.0	150.0	377.70	382.15	DATA CARD	1				2.4		12.76	50.08	19.50				215
2	10		11	3	140.0	150.0	377.70	382.15	DATA CARD	2						0.10	11.77	9.31	26.09	0.30		215
2	10		11	3	140.0	150.0	377.70	382.15	DATA CARD	3									3.39		480.57	215
2	10		11	3	140.0	150.0	377.70	382.15	DATA CARD	4							0.38					215
2	10		15	2	90.0	100.0	414.10	416.55	DATA CARD	1				2.6		11.74	50.92	19.80				215
2	10		15	2	90.0	100.0	414.10	416.55	DATA CARD	2						0.07	11.77	14.90	26.41	0.30		215
2	10		15	2	90.0	100.0	414.10	416.55	DATA CARD	3									1.92		485.02	215
2	10		15	2	90.0	100.0	414.10	416.55	DATA CARD	4							0.28					215
2	10		17	3	135.0	145.0	432.30	436.70	DATA CARD	1				0.0		14.80	53.44	20.10				215
2	10		17	3	135.0	145.0	432.30	436.70	DATA CARD	2						0.07	10.73	22.34	28.01	0.30		215
2	10		17	3	135.0	145.0	432.30	436.70	DATA CARD	3									2.36		489.47	215
2	10		17	3	135.0	145.0	432.30	436.70	DATA CARD	4							0.85					215
2	10		18	2	144.0	150.0	441.40	444.37	DATA CARD	1				2.6		9.95	55.13	19.30				215
2	10		18	2	144.0	150.0	441.40	444.37	DATA CARD	2						0.07	10.47	13.03	27.48	0.30		215
2	10		18	2	144.0	150.0	441.40	444.37	DATA CARD	3									2.51		476.12	215
2	10		18	2	144.0	150.0	441.40	444.37	DATA CARD	4							0.66					215
2	10		18	5	125.0	135.0	441.40	448.70	DATA CARD	1				2.9		10.21	50.92	19.60				215
2	10		18	5	125.0	135.0	441.40	448.70	DATA CARD	2						0.08	10.73	26.07	27.37	0.30		215
2	10		18	5	125.0	135.0	441.40	448.70	DATA CARD	3									2.65		489.47	215
2	10		18	5	125.0	135.0	441.40	448.70	DATA CARD	4							0.57					215
2	11		1	2	130.0	145.0	14.00	16.88	DATA CARD	1				2.1		9.95	54.29	19.70				215
2	11		1	2	130.0	145.0	14.00	16.88	DATA CARD	2						0.13	10.73	18.62	23.96	0.30		215
2	11		1	2	130.0	145.0	14.00	16.88	DATA CARD	3									2.95		485.02	215
2	11		1	2	130.0	145.0	14.00	16.88	DATA CARD	4							0.95					215
2	11		1	2	130.0	150.0	14.00	16.90	DATA CARD	1						10.58	53.06	19.75			99.68	216
2	11		1	2	130.0	150.0	14.00	16.90	DATA CARD	2						0.12	12.17	5.46	22.90		3671.41	216
2	11		1	2	130.0	150.0	14.00	16.90	DATA CARD	3									2.59		478.47	216
2	11		1	2	130.0	150.0	14.00	16.90	DATA CARD	4						0.91	0.54					216
2	11	A	4	3	0.0	15.0	259.00	262.08	DATA CARD	1				2.4		10.46	54.29	19.60				215
2	11	A	4	3	0.0	15.0	259.00	262.08	DATA CARD	1						11.23	53.89	19.65				216
2	11	A	4	3	0.0	15.0	259.00	262.08	DATA CARD	2						0.23	10.73	5.59	26.94	0.30		215
2	11	A	4	3	0.0	15.0	259.00	262.08	DATA CARD	2						0.21	12.40	0.91	28.11		2065.17	216
2	11	A	4	3	0.0	15.0	259.00	262.08	DATA CARD	3									3.83		480.57	215
2	11	A	4	3	0.0	15.0	259.00	262.08	DATA CARD	3											482.82	216
2	11	A	4	3	0.0	15.0	259.00	262.08	DATA CARD	4							0.85					215
2	11	A	4	3	0.0	15.0	259.00	262.08	DATA CARD	4						0.91						216
3	13		2	4	147.0	150.0	21.00	26.99	DATA CARD	1				5.7		11.49	52.18	19.50			327.77	321
3	13		2	4	147.0	150.0	21.00	26.99	DATA CARD	2						0.09	12.30	54.00	24.07	1.40		321
3	13		2	4	147.0	150.0	21.00	26.99	DATA CARD	3									4.13		476.12	321
3	13		2	4	147.0	150.0	21.00	26.99	DATA CARD	4							0.66					321
3	13		3	3	147.0	150.0	136.00	140.49	DATA CARD	1				8.4		19.91	52.18	19.80			1056.14	321
3	13		3	3	147.0	150.0	136.00	140.49	DATA CARD	2						0.13	9.68	31.65	24.17	0.70		321
3	13		3	3	147.0	150.0	136.00	140.49	DATA CARD	3									2.65		476.12	321
3	13		3	3	147.0	150.0	136.00	140.49	DATA CARD	4							0.28					321
3	15		3	5	147.0	150.0	37.00	44.49	DATA CARD	1				5.7		10.21	54.29	19.70			946.89	321
3	15		3	5	147.0	150.0	37.00	44.49	DATA CARD	2						0.16	10.99	54.00	27.58	1.90		321
3	15		3	5	147.0	150.0	37.00	44.49	DATA CARD	3									2.80		489.47	321
3	15		3	5	147.0	150.0	37.00	44.49	DATA CARD	4							0.28					321
3	15		9	5	147.0	150.0	132.00	139.49	DATA CARD	1				6.2		10.72	50.50	19.10			364.19	321
3	15		9	5	147.0	150.0	132.00	139.49	DATA CARD	2						0.15	11.25	16.76	25.99	1.10		321
3	15		9	5	147.0	150.0	132.00	139.49	DATA CARD	3									3.69		480.57	321
3	15		9	5	147.0	150.0	132.00	139.49	DATA CARD	4							0.19					321
3	19		1	5	147.0	150.0	0.00	7.49	DATA CARD	1				5.9		9.70	51.76	19.30			364.19	321
3	19		1	5	147.0	150.0	0.00	7.49	DATA CARD	2						0.15	12.82	24.21	28.54	0.70		321
3	19		1	5	147.0	150.0	0.00	7.49	DATA CARD	3									3.69		480.57	321
3	19		1	5	147.0	150.0	0.00	7.49	DATA CARD	4							0.76					321
3	19		8	4	147.0	150.0	104.30	110.29	DATA CARD	1				4.1		9.70	51.76	19.60			437.02	321
3	19		8	4	147.0	150.0	104.30	110.29	DATA CARD	2						0.16	11.51	27.93	26.94	2.00		321
3	19		8	4	147.0	150.0	104.30	110.29	DATA CARD	3									2.21		489.47	321
3	19		8	4	147.0	150.0	104.30	110.29	DATA CARD	4							0.52					321
3	19		11	3	148.0	150.0	133.00	137.49	DATA CARD	1						9.70	51.76	19.20				321
3	19		11	3	148.0	150.0	133.00	137.49	DATA CARD	2							11.77		23.54			321
3	19		11	3	148.0	150.0	133.00	137.49	DATA CARD	3											480.57	321
3	20	C	1	5	147.0	150.0	0.00	7.49	DATA CARD	1						8.93	52.18	19.60				321
3	20	C	1	5	147.0	150.0	0.00	7.49	DATA CARD	2							12.82		27.69			321
3	20	C	1	5	147.0	150.0	0.00	7.49	DATA CARD	3											489.47	321
4	23		1	1	130.0	145.0	0.00	1.38	DATA CARD	1				3.2	36.3	12.00	49.66	19.60			324.13	419
4	23		1	1	130.0	145.0	0.00	1.38	DATA CARD	2						0.10	12.82			0.90		419
4	23		1	1	130.0	145.0	0.00	1.38	DATA CARD	3									2.80		493.92	419
4	23		1	1	130.0	145.0	0.00	1.38	DATA CARD	4							0.76					419
4	23		3	2	90.0	150.0	62.40	65.10	DATA CARD	1						13.22	50.02	19.37			206.48	420
4	23		3	2	90.0	150.0	62.40	65.10	DATA CARD	2						0.12	10.18	112.85	26.96		10.33	420
4	23		3	2	90.0	150.0	62.40	65.10	DATA CARD	3							0.25	0.04	3.31		482.82	420
4	23		3	2	90.0	150.0	62.40	65.10	DATA CARD	4						0.80	0.72		0.82			420
4	23		3	2	130.0	145.0	62.40	65.28	DATA CARD	1				4.1	34.7	12.51	50.08	19.20			364.19	419
4	23		3	2	130.0	145.0	62.40	65.28	DATA CARD	2						0.13	8.90		26.09	0.80		419
4	23		3	2	130.0	145.0	62.40	65.28	DATA CARD	3									4.72		471.67	419
4	23		3	2	130.0	145.0	62.40	65.28	DATA CARD	4							0.66					419
4	23		4	3	54.0	60.0	112.00	115.74	DATA CARD	1				3.2	34.4	15.31	48.81	19.20			364.19	419
4	23		4	3	54.0	60.0	112.00	115.74	DATA CARD	2						0.11	8.63		26.09	0.70		419
4	23		4	3	54.0	60.0	112.00	115.74	DATA CARD	3									3.83			419
4	23		4	3	54.0	60.0	112.00	115.74	DATA CARD	4							0.66					419
4	23		4	4	88.0	140.0	112.00	117.81	DATA CARD	1						14.00	49.57	19.64			110.36	420
4	23		4	4	88.0	140.0	112.00	117.81	DATA CARD	2						0.14	10.28	9.10	26.65		1.91	420
4	23		4	4	88.0	140.0	112.00	117.81	DATA CARD	3							0.09	0.05	3.46		478.47	420
4	23		4	4	88.0	140.0	112.00	117.81	DATA CARD	4						0.81	0.58		0.27			420
4	24		2	1	62.0	72.0	207.00	207.67	DATA CARD	1				0.0		20.93	47.55	21.20			247.65	419
4	24		2	1	62.0	72.0	207.00	207.67	DATA CARD	2						0.36	9.16		19.49	1.30		419
4	24		2	1	62.0	72.0	207.00	207.67	DATA CARD	3									22.11		489.47	419
4	24		2	1	62.0	72.0	207.00	207.67	DATA CARD	4							0.38					419
4	24		4	2	103.0	150.0	225.00	227.76	DATA CARD	1						21.26	41.18	19.33				420
4	24		4	2	103.0	150.0	225.00	227.76	DATA CARD	2						0.38	6.16	7.28	18.63		0.54	420
4	24		4	2	103.0	150.0	225.00	227.76	DATA CARD	3											465.42	420
4	24		4	2	103.0	150.0	225.00	227.76	DATA CARD	4						0.80						420
4	24		4	3	142.0	146.0	225.00	229.44	DATA CARD	1				5.0		21.95	44.61	18.90			298.63	419
4	24		4	3	142.0	146.0	225.00	229.44	DATA CARD	2						0.30	5.76			1.30		419
4	24		4	3	142.0	146.0	225.00	229.44	DATA CARD	3									18.43		458.33	419
4	24		4	3	142.0	146.0	225.00	229.44	DATA CARD	4							0.38					419
4	24	A	3	1	122.0	131.0	540.00	541.27	DATA CARD	1				3.0		40.07	34.93	20.60			582.70	419
4	24	A	3	1	122.0	131.0	540.00	541.27	DATA CARD	2						0.23	6.80			1.40		419
4	24	A	3	1	122.0	131.0	540.00	541.27	DATA CARD	3									25.06		467.22	419
4	24	A	3	1	122.0	131.0	540.00	541.27	DATA CARD	4							0.28					419
4	26		1	3	0.0	6.0	96.00	99.03	DATA CARD	1				10.7	31.9	5.87	43.76	19.30			437.02	419
4	26		1	3	0.0	6.0	96.00	99.03	DATA CARD	2						0.08	7.85		13.21	10.40		419
4	26		1	3	0.0	6.0	96.00	99.03	DATA CARD	3									0.74		453.88	419
4	26		1	3	0.0	6.0	96.00	99.03	DATA CARD	4							0.47					419
4	26		1	3	81.0	130.0	96.00	100.06	DATA CARD	1						6.86	41.96	19.46			299.04	420
4	26		1	3	81.0	130.0	96.00	100.06	DATA CARD	2						0.09	8.47	3.64	1.25		3.44	420
4	26		1	3	81.0	130.0	96.00	100.06	DATA CARD	3							0.33	0.38	1.80		478.47	420
4	26		1	3	81.0	130.0	96.00	100.06	DATA CARD	4						0.83	0.43		0.80			420
4	26		3	2	6.0	12.0	227.00	228.59	DATA CARD	1				4.8	31.1	6.13	34.09	19.10			287.71	419
4	26		3	2	6.0	12.0	227.00	228.59	DATA CARD	2						0.08	6.28		0.64	12.70		419
4	26		3	2	6.0	12.0	227.00	228.59	DATA CARD	3									0.74		458.33	419
4	26		3	2	6.0	12.0	227.00	228.59	DATA CARD	4							0.28					419
4	26		3	2	100.0	150.0	227.00	229.75	DATA CARD	1						6.99	36.24	19.41			117.48	420
4	26		3	2	100.0	150.0	227.00	229.75	DATA CARD	2						0.09	6.88	1.82			3.21	420
4	26		3	2	100.0	150.0	227.00	229.75	DATA CARD	3									1.80		474.12	420
4	26		3	2	100.0	150.0	227.00	229.75	DATA CARD	4						0.89	0.34					420
4	26		5	1	89.0	131.0	477.00	478.10	DATA CARD	1						12.13	32.25	19.53			64.08	420
4	26		5	1	89.0	131.0	477.00	478.10	DATA CARD	2						0.13	3.63	1.82	5.21		3.29	420
4	26		5	1	89.0	131.0	477.00	478.10	DATA CARD	3									2.57		478.47	420
4	26		5	1	89.0	131.0	477.00	478.10	DATA CARD	4						0.86	0.16					420
